,class,filename,length_seconds
0,Asian Brown Flycatcher,asbfly/XC134896.ogg,27.35021875
1,Asian Brown Flycatcher,asbfly/XC164848.ogg,15.80409375
2,Asian Brown Flycatcher,asbfly/XC175797.ogg,29.25715625
3,Asian Brown Flycatcher,asbfly/XC207738.ogg,14.158375
4,Asian Brown Flycatcher,asbfly/XC209218.ogg,47.8824375
5,Asian Brown Flycatcher,asbfly/XC209219.ogg,30.32815625
6,Asian Brown Flycatcher,asbfly/XC267679.ogg,15.12490625
7,Asian Brown Flycatcher,asbfly/XC267680.ogg,33.04490625
8,Asian Brown Flycatcher,asbfly/XC267681.ogg,118.3085625
9,Asian Brown Flycatcher,asbfly/XC267682.ogg,43.10203125
10,Asian Brown Flycatcher,asbfly/XC267683.ogg,10.47509375
11,Asian Brown Flycatcher,asbfly/XC291450.ogg,34.56
12,Asian Brown Flycatcher,asbfly/XC305518.ogg,118.80490625
13,Asian Brown Flycatcher,asbfly/XC309402.ogg,38.58284375
14,Asian Brown Flycatcher,asbfly/XC312456.ogg,4.5453125
15,Asian Brown Flycatcher,asbfly/XC313835.ogg,83.7224375
16,Asian Brown Flycatcher,asbfly/XC329259.ogg,108.96
17,Asian Brown Flycatcher,asbfly/XC341611.ogg,27.4546875
18,Asian Brown Flycatcher,asbfly/XC341612.ogg,38.84409375
19,Asian Brown Flycatcher,asbfly/XC342037.ogg,117.1853125
20,Asian Brown Flycatcher,asbfly/XC342638.ogg,50.5991875
21,Asian Brown Flycatcher,asbfly/XC347563.ogg,30.45878125
22,Asian Brown Flycatcher,asbfly/XC347938.ogg,33.64571875
23,Asian Brown Flycatcher,asbfly/XC374520.ogg,108.6
24,Asian Brown Flycatcher,asbfly/XC376509.ogg,39.314
25,Asian Brown Flycatcher,asbfly/XC396237.ogg,28.7085625
26,Asian Brown Flycatcher,asbfly/XC396238.ogg,55.43184375
27,Asian Brown Flycatcher,asbfly/XC399102.ogg,27.79428125
28,Asian Brown Flycatcher,asbfly/XC405069.ogg,20.349
29,Asian Brown Flycatcher,asbfly/XC412227.ogg,1.056
30,Asian Brown Flycatcher,asbfly/XC412228.ogg,15.408
31,Asian Brown Flycatcher,asbfly/XC441145.ogg,49.704
32,Asian Brown Flycatcher,asbfly/XC453302.ogg,51.304
33,Asian Brown Flycatcher,asbfly/XC464609.ogg,32.232
34,Asian Brown Flycatcher,asbfly/XC484489.ogg,122.3314375
35,Asian Brown Flycatcher,asbfly/XC49755.ogg,52.74121875
36,Asian Brown Flycatcher,asbfly/XC499134.ogg,111.281
37,Asian Brown Flycatcher,asbfly/XC505369.ogg,62.856
38,Asian Brown Flycatcher,asbfly/XC508268.ogg,3.84
39,Asian Brown Flycatcher,asbfly/XC528852.ogg,49.502
40,Asian Brown Flycatcher,asbfly/XC530877.ogg,9.432
41,Asian Brown Flycatcher,asbfly/XC554430.ogg,26.82775
42,Asian Brown Flycatcher,asbfly/XC575547.ogg,12.096
43,Asian Brown Flycatcher,asbfly/XC578908.ogg,20.16
44,Asian Brown Flycatcher,asbfly/XC578909.ogg,19.464
45,Asian Brown Flycatcher,asbfly/XC589132.ogg,19.252
46,Asian Brown Flycatcher,asbfly/XC596043.ogg,86.674
47,Asian Brown Flycatcher,asbfly/XC600171.ogg,29.904
48,Asian Brown Flycatcher,asbfly/XC610733.ogg,34.104
49,Asian Brown Flycatcher,asbfly/XC610734.ogg,17.16
50,Asian Brown Flycatcher,asbfly/XC610735.ogg,27.336
51,Asian Brown Flycatcher,asbfly/XC629846.ogg,131.472
52,Asian Brown Flycatcher,asbfly/XC629847.ogg,54.456
53,Asian Brown Flycatcher,asbfly/XC643642.ogg,69.048
54,Asian Brown Flycatcher,asbfly/XC647397.ogg,23.95428125
55,Asian Brown Flycatcher,asbfly/XC665386.ogg,46.992
56,Asian Brown Flycatcher,asbfly/XC677470.ogg,23.19675
57,Asian Brown Flycatcher,asbfly/XC684073.ogg,4.008
58,Asian Brown Flycatcher,asbfly/XC687953.ogg,9.01225
59,Asian Brown Flycatcher,asbfly/XC687954.ogg,34.79509375
60,Asian Brown Flycatcher,asbfly/XC687955.ogg,39.86284375
61,Asian Brown Flycatcher,asbfly/XC712207.ogg,11.808
62,Asian Brown Flycatcher,asbfly/XC713467.ogg,42.161625
63,Asian Brown Flycatcher,asbfly/XC713503.ogg,18.99103125
64,Asian Brown Flycatcher,asbfly/XC716486.ogg,5.773
65,Asian Brown Flycatcher,asbfly/XC716692.ogg,22.56
66,Asian Brown Flycatcher,asbfly/XC716727.ogg,38.16490625
67,Asian Brown Flycatcher,asbfly/XC716737.ogg,30.589375
68,Asian Brown Flycatcher,asbfly/XC716738.ogg,31.4514375
69,Asian Brown Flycatcher,asbfly/XC716740.ogg,42.39675
70,Asian Brown Flycatcher,asbfly/XC718355.ogg,5.6685625
71,Asian Brown Flycatcher,asbfly/XC724148.ogg,146.6253125
72,Asian Brown Flycatcher,asbfly/XC724266.ogg,146.6253125
73,Asian Brown Flycatcher,asbfly/XC741062.ogg,22.176
74,Asian Brown Flycatcher,asbfly/XC741066.ogg,5.04
75,Asian Brown Flycatcher,asbfly/XC741067.ogg,36.216
76,Asian Brown Flycatcher,asbfly/XC745831.ogg,9.0
77,Asian Brown Flycatcher,asbfly/XC749597.ogg,10.032
78,Asian Brown Flycatcher,asbfly/XC756431.ogg,67.536
79,Asian Brown Flycatcher,asbfly/XC756532.ogg,5.376
80,Asian Brown Flycatcher,asbfly/XC756617.ogg,17.952
81,Asian Brown Flycatcher,asbfly/XC760532.ogg,42.0
82,Asian Brown Flycatcher,asbfly/XC767510.ogg,16.536
83,Asian Brown Flycatcher,asbfly/XC770506.ogg,30.144
84,Asian Brown Flycatcher,asbfly/XC770507.ogg,39.912
85,Asian Brown Flycatcher,asbfly/XC775904.ogg,15.229375
86,Asian Brown Flycatcher,asbfly/XC778686.ogg,5.65765625
87,Asian Brown Flycatcher,asbfly/XC778717.ogg,11.2
88,Asian Brown Flycatcher,asbfly/XC785503.ogg,52.3755
89,Asian Brown Flycatcher,asbfly/XC805713.ogg,22.4391875
90,Asian Brown Flycatcher,asbfly/XC818340.ogg,112.9454375
91,Asian Brown Flycatcher,asbfly/XC821324.ogg,24.20678125
